N°,,Code Projet,,Client,Marque,Modèle,Kg,Type de l'essai,Réception échantillons,,,,En cours,,Achevés,,Confirmation,,Offre de prix,Facturation,,Délai de réalisation / essai  (jours),Délai de traitement de dossier  (jours),,Rapport d'essai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Date,Récep,Stock,Etat,,,,,,,Montant HT,Montant HT,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,A373,A3732510,,Beko,BM3WFU47200BS,7,Classification,4/3/25,,,Rendu,,,,1,,,,,4/10/25,13,,Dans les délais,4/23/25,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,A373,A3732510,,Beko,B3WFU4822MG,8,Constat,4/3/25,,,Rendu,,,,1,,,,,4/10/25,11,,Dans les délais,4/21/25,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23,A373,A3732513,Brandt Tunisie,Brandt,BLF842B,8,Constat,4/14/25,,,Rendu,,,1,1,,,600.000,600.000,4/23/25,6,15,Dans les délais,4/29/25,,,,,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,24,A373,A3732514,El Athir Service,SAMSUNG,WD11DB7B85GB,11,Classification,4/22/25,,,Rendu,,,1,1,,,"5,000.000","5,000.000",5/7/25,29,44,Dans les délais,6/5/25,,,,,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25,A373,A3732515,El Athir Service,SAMSUNG,WD11DB7B85GB,11,Capacité,4/24/25,,,Rendu,,,1,1,,,700.000,700.000,4/24/25,1,1,Dans les délais,4/25/25,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,26,A371,A3712511,COFEM,Orient,OW-F5V01S,5,Constat,4/25/25,,,Rendu,,,1,1,,,600.000,600.000,4/28/25,4,7,Dans les délais,5/2/25,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,27,A373,A3732516,MONDIAL CONFORT,Beko,BM3WFT48400BS,8,Classification,4/30/25,,,Rendu,,,1,1,,,"5,000.000","5,000.000",5/15/25,29,44,Dans les délais,6/13/25,,,,,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,A373,A3732517,CASAPRO,HOOVER,H3W 272 DGG-04,7,Constat,5/5/25,,,Rendu,,,1,1,,,600.000,600.000,5/8/25,1,4,Dans les délais,5/9/25,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29,A373,A3732518,SMART HOME DISTRIBUTION,Fresh,,4,Capacité,5/6/25,,,Annulé,,,1,1,,,700.000,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,30,A373,A3732519,MONDIAL CONFORT,Beko,BM3WFTU47200BW,7,Constat,5/8/25,,,Rendu,,,1,1,,,600.000,600.000,5/15/25,5,12,Dans les délais,5/20/25,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
